X,Y,objectid,time,local_id,type,comments,eqnum
147.133086941620405,-41.439012038035649,1,3,PT14,dig,Multibay Meter (7),365906
147.137077853976592,-41.438568495384139,2,1,KING001,mec,,370022
147.134340499456698,-41.437540783419927,3,3,WE01,dig,Multibay Meter (7),365992
147.143157735268773,-41.43526831767592,4,3,TA08,dig,Multibay Meter (5),370963
147.13705339050054,-41.439970491711165,5,1,YK17,mec,,
147.138860511294752,-41.438990189658661,6,1,YK14,dig,Multibay Meter (4),344120
147.139204233425971,-41.438950528393342,7,1,YK13,dig,Multibay Meter (5),357943
147.138208496727088,-41.439339981187267,8,1,YK16,dig,Multibay Meter (5),344893
147.137013173454449,-41.440472182178269,9,1,WE06,dig,Multibay Meter (5),365988
147.13729276314487,-41.440527245261684,10,1,WE07,dig,Multibay Meter (6),365994
147.136548596215562,-41.440395638950946,11,3,YK19,dig,Multibay Meter (6),365989
147.136143627222822,-41.440614326664665,12,3,YK21,dig,Multibay Meter (3),365986
147.135877541296622,-41.440611155319658,13,3,YK24,dig,Multibay Meter (5),365991
147.134556487934475,-41.439652134366824,14,3,BR14,dig,Multibay Meter (6),365969
147.139106013021291,-41.440035561074062,15,1,CH22,dig,Multibay Meter (4),357942
147.142506883039601,-41.440067392853571,16,9,FR04,dig,Multibay Meter (8),375057
147.141788597442229,-41.440466846183121,17,9,FR08,dig,Multibay Meter (10),375059
147.136239292187184,-41.439456743847366,18,1,WE05,dig,Multibay Meter (4),365998
147.137360966831125,-41.440826277369993,19,1,WE08,dig,Multibay Meter (5),365993
147.137139002425698,-41.442500080552456,20,9,FR20,dig,Multibay Meter (6),370996
147.141836537201641,-41.437453150204263,21,3,YORK039,mec,,280860
147.142201937660843,-41.437122311237559,22,3,YK07,dig,Multibay Meter (4),370975
147.143393708888823,-41.436049401902629,23,3,YK01,dig,Multibay Meter (4),370969
147.143375664084772,-41.435899547745592,24,3,YK02,dig,Multibay Meter (3),370970
147.143044924712996,-41.436195920555704,25,3,YK04,dig,Multibay Meter (6),370972
147.142628922831506,-41.43656914246543,26,3,YK06,dig,Multibay Meter (8),370973
147.142088816728347,-41.437053615308308,27,3,YK08,dig,Multibay Meter (6),370976
147.140790158112509,-41.436580985758837,28,1,GE11,dig,Multibay Meter (4),369961
147.13878268520503,-41.435879040028041,29,1,PT04,dig,Multibay Meter (5),344100
147.141125897672708,-41.437906266123946,30,1,YK09,dig,Multibay Meter (9),344114
147.141753293575164,-41.438000929773963,31,3,GE18,dig,Multibay Meter (1),370999
147.141751133443506,-41.437783832504358,32,3,GEOR063,mec,,370033
147.138811655036733,-41.436009866787479,33,1,PT01,dig,Multibay Meter (3),344102
147.135030204398959,-41.436916941784716,34,1,CA19,dig,Multibay Meter (5),344877
147.135847498546667,-41.440773362625464,35,3,YK23,dig,Multibay Meter (3),365986
147.139363302008633,-41.435558254807006,36,1,PT02,dig,Multibay Meter (5),344099
147.139198138156758,-41.437072624079363,37,1,AV04,dig,Multibay Meter (4),357951
147.140084672291323,-41.436539336927808,38,1,AV02,dig,Multibay Meter (4),357947
147.137000931698765,-41.437576864947488,39,1,CH09,dig,Multibay Meter (4),342698
147.137897350223028,-41.438608356258996,40,1,CH16,dig,Multibay Meter (7),342700
147.138280107044551,-41.438981160588192,41,1,CH18,dig,Multibay Meter (6),342701
147.137918754807458,-41.438456670522719,42,1,CH13,dig,Multibay Meter (7),342697
147.136107766386118,-41.438965573890599,43,1,BR15,dig,Multibay Meter (4),344890
147.13733199223455,-41.435502814962639,44,1,STJO050,mec,,280658
147.136082751064748,-41.435396515013437,45,1,CI17,dig,Multibay Meter (10),344896
147.138051916668672,-41.433375837323752,46,3,GE02,dig,Multibay Meter (5),366002
147.138029933264562,-41.4341517384618,47,3,CI14,dig,Multibay Meter (6),370748
147.137230044119491,-41.437967348361198,48,1,CH14,dig,Multibay Meter (3),344097
147.137338769050103,-41.437900013301373,49,1,CH11,dig,Multibay Meter (3),344098
147.138457910556838,-41.435195695077702,50,1,CA14,dig,Multibay Meter (4),344899
147.13766387712883,-41.434355693736791,51,3,CI16,dig,Multibay Meter (6),370757
147.140327017440569,-41.433013296049722,52,3,CI07,dig,Multibay Meter (7),370674
147.13718282066975,-41.433145706987105,53,1,WI01,dig,Multibay Meter (4),370982
147.137244768641978,-41.435394035753596,54,1,STJO046,mec,,280656
147.135767543849227,-41.433068921009564,55,3,SJ01,dig,Multibay Meter (5),366001
147.13728850041926,-41.435448578351874,56,1,STJO048,mec,,280657
147.138217517653686,-41.433582794254953,57,3,GE04,dig,Multibay Meter (4),366003
147.138434326908282,-41.438951286246038,58,1,CH15,dig,Multibay Meter (4),342699
147.137991979433338,-41.433078254544618,59,3,GE01,dig,Multibay Meter (3),366007
147.136968121116183,-41.437712990064703,60,1,CH12,dig,Multibay Meter (3),344096
147.140151489424596,-41.432956834465649,61,3,CI08,dig,Multibay Meter (4),365979
147.137121674438816,-41.432732324034859,62,3,SH02,dig,Multibay Meter (5),370978
147.135410057661204,-41.432818391793283,63,3,SJ02,dig,Multibay Meter (4),366006
147.137209815540615,-41.434608645833599,64,3,CI18,dig,Multibay Meter (3),370758
147.136634240573272,-41.43739742927589,65,1,CH10,dig,Multibay Meter (3),344095
147.138734144606502,-41.435067734288857,66,1,CA12,dig,Multibay Meter (5),344894
147.137202725295367,-41.43533980638896,67,1,STJO044,mec,,280655
147.137294824266974,-41.43521756311096,68,1,SJ07,dig,Multibay Meter (4),344881
147.13836670524222,-41.435382621446479,69,1,CA09,dig,Multibay Meter (6),344108
147.141472564378091,-41.433509524532454,70,3,TA04,dig,Multibay Meter (3),370959
147.140400616608218,-41.439429356946505,71,1,SJ14,dig,Multibay Meter (6),357934
147.140476128956522,-41.439281369867558,72,1,SJ11,dig,Multibay Meter (4),357938
147.139043834445999,-41.440476465482135,73,1,EZ09,dig,Multibay Meter (3),357967
147.138522826155707,-41.440703858918027,74,1,EZ11,dig,Multibay Meter (4),357946
147.138362737414582,-41.440632648761422,75,1,EZ12,dig,Multibay Meter (4),357958
147.138906307537951,-41.440398518188061,76,1,EZ10,dig,Multibay Meter (5),357937
147.141160311114817,-41.439414312495629,77,3,EZ06,dig,Multibay Meter (6),357921
147.141507443254852,-41.439263360942377,78,3,EZ04,dig,Multibay Meter (3),357963
147.141993901673402,-41.439055191669979,79,3,EZ02,dig,Multibay Meter (5),357965
147.1378435846093,-41.441693351734237,80,1,WE12,dig,Multibay Meter (5),357940
147.142084314571122,-41.439171457544312,81,3,EZ01,dig,Multibay Meter (3),357962
147.139756373309126,-41.440024026862496,82,1,EZ08,dig,Multibay Meter (3),357959
147.137742592695048,-41.441401105869716,83,1,WE10,dig,Multibay Meter (5),357933
147.141725780318609,-41.439324100290357,84,3,EZ03,dig,Multibay Meter (3),357966
147.141303098747727,-41.439505680898044,85,3,EZ05,dig,Multibay Meter (5),357945
147.138037853403347,-41.441708900018149,86,1,WE09,dig,Multibay Meter (3),357961
147.139595892945664,-41.440702778050273,87,1,CH24,dig,Multibay Meter (6),357957
147.140286298163687,-41.439950627954524,88,3,EZ07,dig,Multibay Meter (7),357948
147.140792166142262,-41.434262922367054,89,1,CAME013,mec,,280077
147.141121821232957,-41.433963080347112,90,1,CA02,dig,Multibay Meter (5),344889
147.141169529572664,-41.434089668033096,91,1,CA01,dig,Multibay Meter (6),344884
147.140633511149247,-41.434189875990022,92,1,CA04,dig,Multibay Meter (5),344886
147.140111994438485,-41.434427645168448,93,1,CA06,dig,Multibay Meter (6),344876
147.140394608581062,-41.434447342447648,94,1,CA03,dig,Multibay Meter (6),344879
147.139736223135117,-41.43460321804023,95,1,CA08,dig,Multibay Meter (6),344867
147.142006799673766,-41.438322159580579,96,3,GE20,dig,Multibay Meter (5),364838
147.136430569400147,-41.43329133490748,97,1,WI02,dig,Multibay Meter (3),370983
147.136984737603001,-41.433085592381126,98,1,WILL004,mec,,280853
147.137228536147859,-41.432994893000078,99,1,WILL002,mec,,280849
147.140825476520178,-41.436843455199963,100,1,GE14,dig,Multibay Meter (5),344113
147.137891022685068,-41.439340073898165,101,1,KW03,dig,Multibay Meter (4),357935
147.137460322939319,-41.438926341252504,102,1,KW01,dig,Multibay Meter (3),357932
147.137733515133391,-41.439355467312055,103,1,KW06,dig,Multibay Meter (4),357925
147.137410821158198,-41.43904871386669,104,1,KW04,dig,Multibay Meter (4),357930
147.136978939571975,-41.438634134098265,105,1,KW02,dig,Multibay Meter (4),357926
