objectid,comments,class,parktime_mins,surveydate,signinfo,meternumber,baynumber,drawingnumber,mode,st_areashape,st_lengthshape
1,1 St John St,Multibay Metered,180,2014-02-18T00:00:00.000Z,,,,822,active,12.2349909319754,0
2,274A Hobart Rd,Signed,15,2014-02-19T00:00:00.000Z,1/4 P,,,826,active,12.6411470887315,0
3,274A Hobart Rd,Signed,15,2014-02-19T00:00:00.000Z,1/4 P,,,826,active,12.6411470857103,0
4,274A Hobart Rd,Signed,15,2014-02-19T00:00:00.000Z,1/4 P,,,826,active,12.6411470857485,0
5,105-119 Paterson St,Signed,30,2014-02-19T00:00:00.000Z,"5MinP 8am-9am Mon-Fri 1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat",,,827,active,14.488113797767,0
6,105-119 Paterson St,Signed,30,2014-02-19T00:00:00.000Z,"1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat",,,827,active,12.3555641770854,0
7,105-119 Paterson St,Signed,30,2014-02-19T00:00:00.000Z,"1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat",,,827,active,14.955584887882,0
8,105-119 Paterson St,Signed,30,2014-02-19T00:00:00.000Z,"5MinP 8am-9am Mon-Fri 1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat",,,827,active,15.0955207410274,0
9,105-119 Paterson St,Signed,30,2014-02-19T00:00:00.000Z,"5MinP 8am-9am Mon-Fri 1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat",,,827,active,14.429027388937,0
10,105-119 Paterson St,Signed,30,2014-02-19T00:00:00.000Z,"5MinP 8am-9am Mon-Fri 1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat",,,827,active,11.8125236082198,0
11,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,SJ04,3,,Active,14.4087699999367,0
12,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,SJ01,1,,Active,15.9527399985294,0
13,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,SJ01,2,,Active,14.9622834975854,0
14,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,SJ01,4,,Active,15.2899249980988,0
15,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,SJ01,5,,Active,14.1884649995657,0
16,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,WI04,2,,Active,14.1897265001101,0
