1-Hour Parking, 8am-5pm|[{hour_s: 8, hour_e: 17}]
1.5 Hours, 9am-5pm, Daily|[{hour_s: 9, hour_e: 17}]
1/2 P 1pm-6pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 13, hour_e: 18}]
1/2 P 8am-6pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18}]
1/2 P 9am-5pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17}]
1/2 P 9am-5pm Mon-Sat|[{day_s:1, day_e: 6, hour_s: 8, hour_e: 17}]
1/2 P 9am-6:30pm Mon-Fri; 8am-2pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 18.5},{day_s:6, day_e:6,hour_s:8,hour_e:14}]
1/2P 8-6 Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18}]
1/2P 8:00am-5:00pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17}]
1/2P 8:00am-5:30pm Mon-Fri 8:00am-12:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:12}]
1/2P 8:00am-6:00pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18}]
1/2P 8:00am-6:00pm Mon-Fri 8:00am-12:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 12},{day_s:6, day_e:6,hour_s:8, hour_e:12}]
1/2P 8:00am-6:00pm Mon-Fri Sat 8am-12pm|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 12},{day_s:6, day_e:6,hour_s:8, hour_e:12}]
1/2P 8am-5:30pm Mon-Fri 10am-4pm Sat-Sun|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17.5},{day_s:6, day_e:7,hour_s:10, hour_e:16}]
1/2P 8am-5pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17}]
1/2P 8am-6pm|[{hour_s: 8, hour_e: 18}]
1/2P 8am-6pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18}]
1/2P 8am-6pm Mon-Fri; 8am-12pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 12},{day_s:6, day_e:6,hour_s:8, hour_e:12}]
1/2P 8am-6pm Mon-Sat|[{day_s:1, day_e: 6, hour_s: 8, hour_e: 12}]
1/2P 8am-8:30pm Daily|[{hour_s: 8, hour_e: 20.5}]
1/2P 9:00am-5:00pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17}]
1/2P 9am-5:30pm Mon-Fri Sat 8am-12pm|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:12}]
1/2P 9am-5pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17}]
1/2P 9am-9pm|[{hour_s: 8, hour_e: 21}]
1/2P Mon-Sat 9am-5:30pm|[{day_s:1, day_e: 6, hour_s: 9, hour_e: 17.5}]
1/2P, 8am-5:30pm, Monday to Saturday|[{day_s:1, day_e: 6, hour_s: 8, hour_e: 17.5}]
1/2P; 8-5:30 Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17.5}]
